Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E2,05/08/17,Bradford,Blackpool,2,1,H,1,1,D,R East,15,9,4,3,7,9,3,3,1,2,0,0,1.62,4,6.5,1.62,3.7,5.5,1.55,3.5,5.5,1.61,3.6,6,1.61,3.84,6.88,1.67,3.4,6,1.62,3.9,6,40,1.67,1.62,4,3.62,6.88,5.88,36,2.29,2.19,1.73,1.64,16,-0.75,1.86,1.81,2.08,2.04,1.69,3.97,5.5
E2,05/08/17,Bury,Walsall,1,0,H,1,0,H,M Heywood,11,5,7,2,12,16,3,5,2,1,0,0,2.05,3.5,3.9,1.95,3.4,3.8,1.95,3.25,3.55,2,3.25,3.5,2.06,3.53,3.9,2,3.3,3.8,2.05,3.5,3.6,40,2.1,2.02,3.53,3.33,3.9,3.67,39,2.06,1.98,1.87,1.79,16,-0.5,2.09,2.03,1.87,1.82,2.02,3.55,4.03
E2,05/08/17,Charlton,Bristol Rvs,1,0,H,1,0,H,C Sarginson,9,14,2,3,8,14,6,9,0,1,1,0,2.3,3.5,3.25,2.2,3.3,3.2,2.25,3.2,2.95,2.3,3.25,2.9,2.31,3.54,3.23,2.3,3.2,3.2,2.38,3.5,3,39,2.38,2.3,3.54,3.32,3.25,3.01,38,1.97,1.88,2,1.89,16,-0.25,2.07,2.02,1.89,1.83,2.19,3.66,3.39
E2,05/08/17,Doncaster,Gillingham,0,0,D,0,0,D,D Whitestone,16,5,7,3,4,15,10,4,0,1,0,0,1.8,3.75,5,1.75,3.5,4.6,1.75,3.5,4.3,1.8,3.4,4.25,1.83,3.8,4.66,1.8,3.5,4.5,1.75,3.7,4.8,40,1.83,1.78,3.8,3.57,5,4.43,39,1.97,1.88,2,1.88,16,-0.5,1.83,1.79,2.11,2.06,1.69,3.96,5.45
E2,05/08/17,Fleetwood Town,Rotherham,2,0,H,1,0,H,R Lewis,9,8,3,2,10,13,0,6,2,1,0,0,2.3,3.5,3.25,2.3,3.3,3,2.2,3.15,3,2.2,3.2,3.1,2.32,3.44,3.31,2.3,3.2,3.2,2.2,3.5,3.3,40,2.32,2.27,3.5,3.27,3.31,3.13,39,2.14,2.04,1.83,1.75,16,-0.25,2,1.94,1.98,1.91,2.2,3.38,3.66
E2,05/08/17,Milton Keynes Dons,Wigan,0,1,A,0,1,A,K Johnson,6,14,1,6,12,12,2,2,2,3,1,1,2.45,3.3,3.2,2.5,3.25,2.75,2.35,3.1,2.9,2.35,3.1,3,2.39,3.38,3.22,2.3,3.3,3.1,2.55,3.3,2.9,40,2.55,2.41,3.38,3.18,3.22,2.96,36,2.2,2.12,1.75,1.68,13,-0.25,2.11,2.06,1.85,1.79,2.5,3.32,3.08
E2,05/08/17,Oldham,Oxford,0,2,A,0,1,A,D Webb,9,12,2,7,5,12,9,2,1,2,0,0,2.9,3.4,2.6,2.75,3.25,2.5,2.8,2.9,2.5,2.8,2.9,2.55,2.99,3.16,2.68,2.7,3.1,2.7,2.9,3.25,2.6,39,2.99,2.84,3.4,3.04,2.7,2.59,34,2.52,2.41,1.57,1.53,15,0,2.08,2.03,1.85,1.82,2.87,3.25,2.71
E2,05/08/17,Peterboro,Plymouth,2,1,H,1,0,H,J Busby,17,16,8,6,13,16,2,11,2,2,0,0,2.1,3.6,3.75,2.05,3.4,3.5,2,3.25,3.45,2.05,3.25,3.4,2.09,3.52,3.8,2.1,3.4,3.4,2.1,3.6,3.5,40,2.11,2.06,3.6,3.36,3.8,3.51,39,2.03,1.94,1.92,1.83,12,-0.5,2.12,2.07,1.83,1.79,2.13,3.64,3.57
E2,05/08/17,Portsmouth,Rochdale,2,0,H,0,0,D,L Probert,11,8,3,1,13,13,4,5,0,0,1,1,2,3.6,4,1.83,3.5,4.2,1.85,3.35,3.75,1.91,3.3,3.8,1.96,3.62,4.18,1.95,3.25,4.2,1.95,3.6,4,40,2,1.92,3.62,3.42,4.33,3.93,39,2.03,1.94,1.91,1.83,16,-0.5,1.97,1.93,1.96,1.92,2.01,3.66,3.93
E2,05/08/17,Scunthorpe,AFC Wimbledon,1,1,D,1,0,H,M Salisbury,12,15,6,4,15,9,1,7,0,1,0,0,2,3.5,4.1,1.8,3.5,4.33,1.85,3.3,3.8,1.83,3.3,4.2,2.03,3.53,4.01,1.83,3.5,4.33,2,3.5,4,40,2.03,1.92,3.53,3.38,4.42,3.94,39,2.13,2.04,1.82,1.74,16,-0.5,2.03,1.95,1.95,1.9,2.09,3.46,3.89
E2,05/08/17,Shrewsbury,Northampton,1,0,H,0,0,D,S Stockbridge,12,5,2,1,17,17,7,4,2,1,0,0,2.5,3.4,3,2.45,3.25,2.8,2.35,3.1,2.8,2.35,3.1,2.9,2.48,3.41,3.04,2.5,3.2,2.9,2.4,3.4,3,40,2.5,2.42,3.41,3.23,3.04,2.89,39,2.12,2.03,1.83,1.75,13,-0.25,2.12,2.07,1.83,1.79,2.57,3.43,2.9
E2,05/08/17,Southend,Blackburn,2,1,H,2,0,H,L Swabey,15,7,7,2,10,17,6,3,0,3,0,0,2.9,3.4,2.6,2.75,3.25,2.5,2.65,3.1,2.5,2.75,3.1,2.5,2.88,3.33,2.65,2.8,3.1,2.62,2.75,3.4,2.6,39,2.9,2.75,3.4,3.18,2.65,2.57,38,2.16,2.06,1.83,1.73,15,0,2.05,1.99,1.91,1.86,2.96,3.36,2.56
E2,12/08/17,AFC Wimbledon,Shrewsbury,0,1,A,0,1,A,C Breakspear,6,14,2,5,14,19,2,4,2,2,0,0,2,3.4,4.33,1.95,3.3,3.9,1.9,3.1,3.85,2,3.2,4,2.04,3.37,4.21,2,3.2,4,2,3.4,4.1,41,2.05,1.98,3.4,3.22,4.33,4.01,36,2.38,2.27,1.63,1.6,19,-0.5,2.04,1.99,1.91,1.86,2.04,3.43,4.12
E2,12/08/17,Blackburn,Doncaster,1,3,A,0,0,D,D Webb,11,11,4,4,10,9,5,3,2,0,0,0,1.91,3.75,4.33,1.83,3.8,3.9,1.8,3.35,3.95,1.85,3.4,4.25,1.86,3.68,4.62,1.91,3.5,4,1.93,3.5,4.3,41,1.93,1.86,3.8,3.48,4.62,4.18,40,2.05,1.97,1.88,1.81,15,-0.5,1.92,1.86,2.06,2,2.02,3.7,3.87
E2,12/08/17,Blackpool,Milton Keynes Dons,1,0,H,1,0,H,S Stockbridge,11,13,6,2,9,8,4,10,0,0,0,0,3,3.6,2.4,2.7,3.4,2.45,2.8,3.15,2.35,3,3.1,2.4,3.07,3.36,2.49,3,3.2,2.4,3,3.3,2.5,41,3.07,2.91,3.6,3.24,2.5,2.42,40,2.17,2.1,1.77,1.71,19,0.25,1.83,1.78,2.13,2.09,3.07,3.31,2.52
E2,12/08/17,Bristol Rvs,Peterboro,1,4,A,0,1,A,N Kinseley,20,16,7,6,8,8,6,4,1,2,0,0,2.05,3.6,3.8,2.05,3.4,3.5,1.95,3.4,3.4,2,3.5,3.5,2.06,3.71,3.7,2.1,3.4,3.4,2.05,3.6,3.6,41,2.15,2.04,3.71,3.48,3.8,3.5,38,1.8,1.74,2.12,2.05,18,-0.25,1.82,1.77,2.16,2.1,1.78,4.32,4.36
E2,12/08/17,Gillingham,Bradford,0,1,A,0,1,A,J Busby,11,10,2,5,12,15,4,5,2,3,1,0,4,3.6,2,3.6,3.4,2,3.6,3.25,1.95,3.75,3.3,2,4.02,3.55,2.02,3.75,3.4,2,3.8,3.6,2,41,4.02,3.75,3.6,3.38,2.05,1.99,38,2.11,2.03,1.86,1.75,16,0.5,1.9,1.85,2.04,1.99,4.2,3.72,1.93
E2,12/08/17,Northampton,Fleetwood Town,0,1,A,0,0,D,B Huxtable,12,11,4,4,8,9,6,4,0,2,0,0,2.8,3.4,2.7,2.75,3.2,2.55,2.6,3.1,2.55,2.65,3.2,2.65,2.74,3.36,2.76,2.7,3.1,2.7,2.7,3.3,2.7,41,2.82,2.68,3.4,3.21,2.76,2.64,40,2.19,2.08,1.78,1.72,17,0,1.98,1.94,1.96,1.9,2.67,3.3,2.87
E2,12/08/17,Oxford,Portsmouth,3,0,H,0,0,D,G Salisbury,11,7,5,3,8,8,4,7,0,0,0,0,2.5,3.4,3,2.35,3.4,2.85,2.45,3.05,2.75,2.55,3.1,2.8,2.63,3.36,2.88,2.5,3.2,2.9,2.55,3.4,2.8,40,2.63,2.5,3.4,3.19,3,2.85,37,2.2,2.12,1.77,1.69,17,0,1.88,1.82,2.1,2.04,2.72,3.37,2.77
E2,12/08/17,Plymouth,Charlton,2,0,H,0,0,D,J Brooks,14,14,4,7,11,9,5,5,1,0,0,0,2.63,3.4,2.88,2.55,3.3,2.7,2.5,3.1,2.7,2.6,3.1,2.75,2.65,3.36,2.85,2.6,3.1,2.8,2.6,3.4,2.75,41,2.68,2.56,3.4,3.21,2.92,2.76,40,2.16,2.06,1.83,1.74,18,0,1.9,1.86,2.05,1.99,2.87,3.4,2.62
E2,12/08/17,Rochdale,Scunthorpe,1,1,D,0,0,D,R Joyce,14,9,4,5,14,10,10,2,0,0,0,0,2.25,3.5,3.4,2.3,3.4,2.9,2.2,3.2,3,2.25,3.3,3.1,2.36,3.34,3.31,2.3,3.2,3.2,2.3,3.4,3.2,41,2.36,2.27,3.5,3.3,3.4,3.11,40,1.97,1.89,1.95,1.88,19,-0.25,2.02,1.96,1.95,1.89,2.29,3.56,3.26
E2,12/08/17,Rotherham,Southend,5,0,H,4,0,H,M Salisbury,17,10,10,3,19,22,5,3,2,1,0,0,2.5,3.4,3,2.4,3.4,2.8,2.4,3.15,2.75,2.45,3.2,2.87,2.5,3.42,3,2.5,3.3,2.8,2.5,3.4,2.9,41,2.58,2.46,3.42,3.27,3,2.84,38,2.12,2.01,1.83,1.76,18,-0.25,2.2,2.12,1.79,1.75,2.42,3.6,2.99
E2,12/08/17,Walsall,Oldham,2,1,H,0,1,A,D Whitestone,16,10,5,6,12,12,8,4,2,3,0,0,2.25,3.25,3.6,2.15,3.3,3.3,2.15,2.95,3.4,2.2,3,3.5,2.25,3.22,3.7,2.25,3.1,3.4,2.2,3.25,3.6,41,2.26,2.2,3.3,3.08,3.7,3.49,35,2.63,2.5,1.55,1.5,18,-0.25,1.92,1.88,2,1.96,2.37,3.11,3.56
